stamp,vx,vy,vz,wx,wy,wz
1788556266.3374903,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.387839,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.4379988,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.4879932,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.537844,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.5880141,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.6379263,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.6876643,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.7379794,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.7876854,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.8381913,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.8881085,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.938077,0.0,0.0,0.0,0.0,0.0,0.0
1788556266.9881494,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.0381236,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.0879076,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.1380804,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.188011,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.2380974,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.2880876,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.3379762,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.388086,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.4379737,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.487903,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.538138,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.5881174,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.6379476,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.6880565,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.7379322,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.7881079,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.838114,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.8882122,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.9381068,0.0,0.0,0.0,0.0,0.0,0.0
1788556267.9881318,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.0381591,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.088023,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.1380062,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.1879847,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.2379694,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.2879431,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.337977,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.3881862,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.4380043,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.4881048,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.5380208,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.5881984,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.6381187,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.6879466,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.737892,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.7878675,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.8379118,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.887963,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.9380162,0.0,0.0,0.0,0.0,0.0,0.0
1788556268.987977,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.0379977,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.0878441,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.13804,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.1879554,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.2380292,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.2880282,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.337999,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.387784,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.4379323,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.4879143,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.537803,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.5877995,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.638041,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.687887,0.0,0.0,0.0,0.0,0.0,0.0
1788556269.7379677,0.0,0.0,0.0,0.0,0.0,0.0
