stamp,vx,vy,vz,wx,wy,wz
1788634675.643941,0.0,0.0,0.0,0.0,0.0,0.0
1788634675.693969,0.0,0.0,0.0,0.0,0.0,0.0
1788634675.7439117,0.0,0.0,0.0,0.0,0.0,0.0
1788634675.7938468,0.0,0.0,0.0,0.0,0.0,0.0
1788634675.8439693,0.0,0.0,0.0,0.0,0.0,0.0
1788634675.8938384,0.0,0.0,0.0,0.0,0.0,0.0
1788634675.9438696,0.0,0.0,0.0,0.0,0.0,0.0
1788634675.9938548,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.0438006,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.0939558,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.1441226,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.1938834,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.2439532,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.2940483,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.3438082,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.3942704,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.444104,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.494002,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.5439737,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.5941699,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.6437275,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.6937208,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.7442105,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.7939336,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.844028,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.8939874,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.9438448,0.0,0.0,0.0,0.0,0.0,0.0
1788634676.993966,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.0437303,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.0941956,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.1438124,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.19377,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.2439241,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.2938747,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.3440866,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.3938222,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.443776,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.49438,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.544172,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.5939527,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.643803,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.693897,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.7439535,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.7937534,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.8437436,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.8936357,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.9438572,0.0,0.0,0.0,0.0,0.0,0.0
1788634677.9938347,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.0439575,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.0937266,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.144317,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.1938963,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.2440212,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.293677,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.343784,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.3937495,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.443755,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.494144,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.5440423,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.5939329,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.6439598,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.693527,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.743703,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.793734,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.843836,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.8937545,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.9439986,0.0,0.0,0.0,0.0,0.0,0.0
1788634678.9939587,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.0437114,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.0940423,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.1440969,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.1941624,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.2440345,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.2943046,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.344184,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.3939853,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.444162,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.493956,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.5443568,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.594321,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.6440573,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.6938422,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.743957,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.7937472,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.8438523,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.8936138,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.9439332,0.0,0.0,0.0,0.0,0.0,0.0
1788634679.9938672,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.044039,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.0941796,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.1442099,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.1939056,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.2441905,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.2939577,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.343913,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.3938608,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.4441304,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.493994,0.0,0.0,0.0,0.0,0.0,0.0
1788634680.544026,0.0,0.0,0.0,0.0,0.0,0.0
