stamp,vx,vy,vz,wx,wy,wz
1788731649.1190097,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.1692705,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.219266,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.2687976,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.3188872,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.3686278,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.4189053,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.468906,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.5190597,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.568988,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.618762,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.668826,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.7190907,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.7689867,0.0,0.0,0.0,0.0,0.0,0.0
1788731649.8190076,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.1470473,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.168738,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.2190652,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.2687657,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.3189929,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.3690834,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.418956,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.46908,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.5199344,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.5689712,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.6187012,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.669028,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.7187765,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.769028,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.8187573,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.8691633,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.9190905,0.0,0.0,0.0,0.0,0.0,0.0
1788731650.969333,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.018738,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.0690908,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.1192424,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.1690245,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.2192774,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.2688546,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.3222582,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.369083,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.4194512,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.468764,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.5190723,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.5691543,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.6192882,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.6691117,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.7191536,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.7690291,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.8187547,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.8690774,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.9192653,0.0,0.0,0.0,0.0,0.0,0.0
1788731651.9690359,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.0188727,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.0689034,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.1188972,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.16902,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.219337,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.2689912,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.318971,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.3692112,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.419242,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.4687529,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.5211544,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.568922,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.618801,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.6690123,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.718958,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.7689645,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.8189821,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.868878,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.9190085,0.0,0.0,0.0,0.0,0.0,0.0
1788731652.9690244,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.019246,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.0690866,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.1227477,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.1688285,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.2189004,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.268881,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.3196042,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.3689532,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.4224668,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.469017,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.5190012,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.5688953,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.6199431,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.6687238,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.71885,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.7687676,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.8190289,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.8689973,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.9191875,0.0,0.0,0.0,0.0,0.0,0.0
1788731653.968987,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.0190969,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.0687444,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.1189952,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.168993,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.2258723,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.2690003,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.3189735,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.3689592,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.4192636,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.4689133,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.520004,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.5688148,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.6192653,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.6688628,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.7192028,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.7689703,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.818941,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.869208,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.919184,0.0,0.0,0.0,0.0,0.0,0.0
1788731654.9689996,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.01915,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.0690005,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.1225638,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.1690676,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.2224777,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.2692509,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.3188992,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.368918,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.4191759,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.4693103,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.5246725,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.568952,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.6193087,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.6693673,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.7192283,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.7688873,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.8192325,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.8692296,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.919052,0.0,0.0,0.0,0.0,0.0,0.0
1788731655.969279,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.019075,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.069064,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.1202667,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.168735,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.2191157,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.2692184,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.3237176,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.369277,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.4192102,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.4689739,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.526254,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.5689423,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.6191776,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.6689684,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.7191963,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.769106,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.8189642,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.8690102,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.9188879,0.0,0.0,0.0,0.0,0.0,0.0
1788731656.968845,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.0261166,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.068851,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.119088,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.1686938,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.2251213,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.2690263,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.3223205,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.3689032,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.4221382,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.4691339,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.5260592,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.5692255,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.6189122,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.6687944,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.7190118,0.0,0.0,0.0,0.0,0.0,0.0
1788731657.768767,0.0,0.0,0.0,0.0,0.0,0.0
