stamp,vx,vy,vz,wx,wy,wz
1788742596.7687411,0.0,0.0,0.0,0.0,0.0,0.0
1788742596.8188362,0.0,0.0,0.0,0.0,0.0,0.0
1788742596.869053,0.0,0.0,0.0,0.0,0.0,0.0
1788742596.9190896,0.0,0.0,0.0,0.0,0.0,0.0
1788742596.9692144,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.0190547,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.068827,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.1191814,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.1691058,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.219055,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.2691681,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.319248,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.3692472,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.4192996,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.4689913,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.519427,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.5689757,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.619125,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.6689868,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.7193594,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.7691853,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.8191473,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.8689454,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.9192631,0.0,0.0,0.0,0.0,0.0,0.0
1788742597.9688683,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.019048,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.0688832,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.1192777,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.1690269,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.2192998,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.2690942,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.319359,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.3689873,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.4192145,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.4691522,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.518891,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.5688848,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.618886,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.6691632,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.7189195,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.7691307,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.8189933,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.8693078,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.9189386,0.0,0.0,0.0,0.0,0.0,0.0
1788742598.9692142,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.0190754,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.0691807,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.1191835,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.1692436,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.2192378,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.2691302,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.3190374,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.3690252,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.4190736,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.469093,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.5191982,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.5692153,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.6191454,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.668997,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.7192218,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.7689047,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.8189828,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.8692973,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.9191155,0.0,0.0,0.0,0.0,0.0,0.0
1788742599.9689317,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.0187345,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.0691235,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.1191068,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.1691797,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.219466,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.2691529,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.3192587,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.368864,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.419135,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.4692554,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.5191622,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.5690005,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.6191907,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.6690862,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.7194457,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.769066,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.819211,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.8693545,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.9192662,0.0,0.0,0.0,0.0,0.0,0.0
1788742600.9691808,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.0193756,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.0692923,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.1191313,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.1688924,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.219255,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.2691329,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.3194475,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.3690343,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.4189157,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.4691365,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.5191152,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.5691183,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.6189122,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.6689703,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.7190847,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.7691176,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.81906,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.8692892,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.9192858,0.0,0.0,0.0,0.0,0.0,0.0
1788742601.9690914,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.019466,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.0692787,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.1189992,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.1689382,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.2193437,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.268891,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.3191757,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.3690805,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.4188673,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.4688907,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.518903,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.5690644,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.6192207,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.668895,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.719003,0.0,0.0,0.0,0.0,0.0,0.0
1788742602.7691636,0.0,0.0,0.0,0.0,0.0,0.0
