x_m,y_m,samples,dwell_s
-17.822124235342937,-5.5065478253151445,1,0.099921
4.377875764657379,-1.6065478253151584,167,52.699981
-0.12212423534268524,0.09345217468483558,228,22.800067
0.27787576465732045,0.29345217468483487,849,84.900123
5.377875764657393,1.7934521746848295,287,28.70006
5.477875764657394,1.8934521746848292,3,0.300017
5.477875764657394,1.9934521746848288,2,0.199973
5.577875764657396,2.0934521746848285,3,0.299956
5.577875764657396,2.193452174684828,2,0.200047
5.677875764657397,2.193452174684828,1,0.099939
5.677875764657397,2.2934521746848278,4,0.400051
5.677875764657397,2.3934521746848274,1,0.100158
5.777875764657399,2.3934521746848274,5,0.499795
5.777875764657399,2.493452174684827,99,9.900113
5.8778757646574,2.493452174684827,2,0.199977
5.8778757646574,2.5934521746848267,4,0.399973
5.9778757646574014,2.6934521746848263,3,0.300042
6.077875764657403,2.793452174684826,4,0.399917
6.177875764657404,2.8934521746848256,3,0.300157
6.277875764657406,2.9934521746848253,3,0.299903
6.377875764657407,3.093452174684825,3,0.300006
6.4778757646574086,3.1934521746848246,3,0.299996
6.4778757646574086,3.293452174684824,1,0.100024
6.57787576465741,3.293452174684824,2,0.199909
6.57787576465741,3.393452174684824,2,0.200018
6.677875764657411,3.393452174684824,1,0.100065
6.677875764657411,3.4934521746848235,2,0.20014
6.777875764657413,3.4934521746848235,1,0.099908
6.777875764657413,3.593452174684823,2,0.199911
6.777875764657413,3.693452174684823,1,0.100078
6.877875764657414,3.693452174684823,2,0.199942
6.877875764657414,3.7934521746848224,2,0.199908
6.977875764657416,3.7934521746848224,1,0.100203
6.977875764657416,3.893452174684822,4,0.399917
6.977875764657416,3.9934521746848217,1,0.099909
7.077875764657417,3.9934521746848217,3,0.300172
6.977875764657416,4.093452174684821,268,26.799842
7.077875764657417,4.093452174684821,2,0.199863
7.1778757646574185,4.093452174684821,2,0.200048
7.077875764657417,4.193452174684821,8,0.800216
7.1778757646574185,4.193452174684821,59,5.8999
7.1778757646574185,4.293452174684821,163,38.099838
7.27787576465742,4.293452174684821,1,0.100117
