detail,kind,stamp
floor2,map_load_start,1788745174.8542137
floor2,map_load_done,1788745215.8147075
3.0m,scan_informative,1788745217.07215
"floor2 5.5155,1.9000 yaw 42.00 fit 83.8%",localized,1788745231.813347
f2_lift_door,leg_start,1788745231.8347442
f2_lift_door arrived 4s,leg_end,1788745235.6311631
f2_lift_door,leg_start,1788745235.6488097
f2_lift_door arrived 2s,leg_end,1788745237.5543299
open,doors_wait,1788745237.5769107
,doors_open,1788745245.90499
f2_car_at_panel,leg_start,1788745245.9275935
f2_car_at_panel arrived 7s,leg_end,1788745252.5388408
f2_car_panel,leg_start,1788745252.5615227
f2_car_panel arrived 7s,leg_end,1788745259.2424684
floor 1,press_manual,1788745259.2649004
f2_car_at_doors,leg_start,1788745279.3283947
f2_car_at_doors arrived 7s,leg_end,1788745286.5448458
floor1 (background),map_load_start,1788745286.565882
close,doors_wait,1788745286.5836852
floor1,map_load_start,1788745286.5895576
,doors_closed,1788745289.2796276
2->1,ride_start,1788745292.794563
floor1,map_load_done,1788745342.3644836
floor1 (background),map_load_done,1788745342.3884263
3.0m,scan_informative,1788745343.212008
