stamp,vx,vy,vz,wx,wy,wz
1788814278.1207168,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.1703577,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.2210548,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.2703867,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.320644,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.3701184,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.4210525,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.4702914,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.5210414,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.5701985,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.6206474,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.670306,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.7211115,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.7703848,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.8207514,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.8701346,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.9211264,0.0,0.0,0.0,0.0,0.0,0.0
1788814278.9701796,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.020511,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.3798919,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.380878,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.4206898,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.4702406,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.5206587,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.5700977,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.6211302,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.6700206,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.7205594,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.7700984,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.8207874,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.8703146,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.920878,0.0,0.0,0.0,0.0,0.0,0.0
1788814279.9703813,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.0211835,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.070362,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.120796,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.1702664,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.2210026,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.2704008,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.3207762,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.37047,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.420552,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.4701543,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.5203154,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.5702972,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.6205473,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.6702154,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.7206073,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.7702117,0.0,0.0,0.0,0.0,0.0,0.0
1788814280.8202147,0.0,0.0,0.0,0.0,0.0,0.0
