stamp,vx,vy,vz,wx,wy,wz
1788816036.92015,0.0,0.0,0.0,0.0,0.0,0.0
1788816036.9699981,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.0202122,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.0700505,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.120151,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.1701593,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.220559,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.270257,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.3203304,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.3702786,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.4203668,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.4704854,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.5203664,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.570306,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.6204245,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.6702275,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.7203279,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.770355,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.8204398,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.8702812,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.9204278,0.0,0.0,0.0,0.0,0.0,0.0
1788816037.970309,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.0203717,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.0703433,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.1203501,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.170351,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.2202504,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.2701268,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.3204083,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.37035,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.4203565,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.4701986,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.5204031,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.5703826,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.6205132,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.670223,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.7205162,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.7703636,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.820379,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.8701863,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.920456,0.0,0.0,0.0,0.0,0.0,0.0
1788816038.970546,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.0204911,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.0703294,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.1202483,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.170298,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.2207506,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.2703187,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.320389,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.370137,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.4205241,0.0,0.0,0.0,0.0,0.0,0.0
1788816039.470518,0.0,0.0,0.0,0.0,0.0,0.0
