frame,points,stamp
map,"[{""x"":5.8104540409927665,""y"":2.385013583171709,""yaw"":0.0},{""x"":5.835031372901966,""y"":2.426709750785218,""yaw"":0.0},{""x"":5.850502259362969,""y"":2.446347812601285,""yaw"":0.0},{""x"":5.8672304700614575,""y"":2.4649269144406354,""yaw"":0.0},{""x"":5.883864076266349,""y"":2.48358993962108,""yaw"":0.0},{""x"":5.89994073666216,""y"":2.5027366684220134,""yaw"":0.0},{""x"":5.9166277486295655,""y"":2.5213508654767303,""yaw"":0.0},{""x"":5.932782228850755,""y"":2.5404304556047883,""yaw"":0.0},{""x"":5.949045046475902,""y"":2.559418492997107,""yaw"":0.0},{""x"":5.9656756009229355,""y"":2.5780845699354096,""yaw"":0.0},{""x"":5.981947573821657,""y"":2.5970634520541545,""yaw"":0.0},{""x"":5.998297366545756,""y"":2.615976721378953,""yaw"":0.0},{""x"":6.014885196382778,""y"":2.63468094529048,""yaw"":0.0},{""x"":6.031221256196517,""y"":2.6536064216467103,""yaw"":0.0},{""x"":6.047612247651699,""y"":2.672481543998284,""yaw"":0.0},{""x"":6.063913212250071,""y"":2.691437537933094,""yaw"":0.0},{""x"":6.080273686126674,""y"":2.7103401261053897,""yaw"":0.0},{""x"":6.096676884613288,""y"":2.7292060931833895,""yaw"":0.0},{""x"":6.113000737395595,""y"":2.7481407248131937,""yaw"":0.0},{""x"":6.129374944182558,""y"":2.7670326318329863,""yaw"":0.0},{""x"":6.145677434659859,""y"":2.7859855740099384,""yaw"":0.0},{""x"":6.162013494473598,""y"":2.8049095244872397,""yaw"":0.0},{""x"":6.1783892271394905,""y"":2.8237999056281033,""yaw"":0.0},{""x"":6.194824469083613,""y"":2.8426399327643104,""yaw"":0.0},{""x"":6.211204779386293,""y"":2.861524210389458,""yaw"":0.0},{""x"":6.227586615567901,""y"":2.8804100138935347,""yaw"":0.0},{""x"":6.244275153414236,""y"":2.8990242109482516,""yaw"":0.0},{""x"":6.260710395358359,""y"":2.9178627122055296,""yaw"":0.0},{""x"":6.27772089365871,""y"":2.936182414626952,""yaw"":0.0},{""x"":6.2943453445900275,""y"":2.9548545950809704,""yaw"":0.0},{""x"":6.3106524127041155,""y"":2.9738044855000645,""yaw"":0.0},{""x"":6.327186836778623,""y"":2.9925544857794613,""yaw"":0.0},{""x"":6.343362679304818,""y"":3.0116172912393004,""yaw"":0.0},{""x"":6.359237923682002,""y"":3.0309288149645646,""yaw"":0.0},{""x"":6.375302377046381,""y"":3.050084699039072,""yaw"":0.0},{""x"":6.391026559409596,""y"":3.069521344836513,""yaw"":0.0},{""x"":6.40718866902543,""y"":3.088594831448855,""yaw"":0.0},{""x"":6.422673288396794,""y"":3.1082222121124197,""yaw"":0.0},{""x"":6.437889353076656,""y"":3.1280571123103265,""yaw"":0.0},{""x"":6.453225962191908,""y"":3.147798933893565,""yaw"":0.0},{""x"":6.467865244636613,""y"":3.1680656578283752,""yaw"":0.0},{""x"":6.482452647197732,""y"":3.188369002857481,""yaw"":0.0},{""x"":6.496957652296686,""y"":3.2087303312858886,""yaw"":0.0},{""x"":6.511229197919505,""y"":3.2292564546386266,""yaw"":0.0},{""x"":6.5256563831930805,""y"":3.2496727147084776,""yaw"":0.0},{""x"":6.540039317977715,""y"":3.2701225441147663,""yaw"":0.0},{""x"":6.554324596510895,""y"":3.2906379863150015,""yaw"":0.0},{""x"":6.56834589798936,""y"":3.311336533986715,""yaw"":0.0},{""x"":6.582478588629641,""y"":3.3319587877119794,""yaw"":0.0},{""x"":6.596788281225685,""y"":3.3524574452439957,""yaw"":0.0},{""x"":6.610759228699493,""y"":3.373189562252147,""yaw"":0.0},{""x"":6.625009412017306,""y"":3.393730944394175,""yaw"":0.0},{""x"":6.639238233030113,""y"":3.414287585325493,""yaw"":0.0},{""x"":6.653441114101128,""y"":3.4348610109250295,""yaw"":0.0},{""x"":6.667550916557474,""y"":3.4554985234395836,""yaw"":0.0},{""x"":6.681695814229187,""y"":3.476111621891274,""yaw"":0.0},{""x"":6.6959734633677215,""y"":3.496633167607225,""yaw"":0.0},{""x"":6.710174818559807,""y"":3.5172081190856908,""yaw"":0.0},{""x"":6.724031325113941,""y"":3.5380165300402915,""yaw"":0.0},{""x"":6.737983962040602,""y"":3.5587608540798747,""yaw"":0.0},{""x"":6.7520128929137115,""y"":3.5794532982358724,""yaw"":0.0},{""x"":6.7656649316913615,""y"":3.600397512415153,""yaw"":0.0},{""x"":6.779522964124425,""y"":3.621204397490825,""yaw"":0.0},{""x"":6.793585464333972,""y"":3.6418739534628877,""yaw"":0.0},{""x"":6.8077028961849635,""y"":3.662506888340655,""yaw"":0.0},{""x"":6.8217165682687835,""y"":3.6832100136491555,""yaw"":0.0},{""x"":6.835798904904408,""y"":3.7038658367108575,""yaw"":0.0},{""x"":6.8499758460336295,""y"":3.724459098736471,""yaw"":0.0},{""x"":6.864044449758893,""y"":3.745124077071747,""yaw"":0.0},{""x"":6.878232072040618,""y"":3.7657081838237865,""yaw"":0.0},{""x"":6.892445634264135,""y"":3.786273980028678,""yaw"":0.0},{""x"":6.906729386918386,""y"":3.8067924739867713,""yaw"":0.0},{""x"":6.921090959398015,""y"":3.827254510424492,""yaw"":0.0},{""x"":6.935429643693709,""y"":3.8477348574093604,""yaw"":0.0},{""x"":6.949817156115131,""y"":3.868180109178862,""yaw"":0.0},{""x"":6.964181780352618,""y"":3.8886421456165827,""yaw"":0.0},{""x"":6.978596758594762,""y"":3.9090675609600076,""yaw"":0.0},{""x"":6.99304988381013,""y"":3.9294655104827108,""yaw"":0.0},{""x"":7.00747096556799,""y"":3.9498878740682777,""yaw"":0.0},{""x"":7.021939349572648,""y"":3.970275142438478,""yaw"":0.0},{""x"":7.036378741877655,""y"":3.990682247234755,""yaw"":0.0},{""x"":7.0508578070348165,""y"":4.011063412089239,""yaw"":0.0},{""x"":7.065359760375912,""y"":4.031427792275505,""yaw"":0.0},{""x"":7.079849506685576,""y"":4.051799801856415,""yaw"":0.0},{""x"":7.094371296452749,""y"":4.0721504491323195,""yaw"":0.0},{""x"":7.108867146278129,""y"":4.092517881076443,""yaw"":0.0},{""x"":7.123370625498154,""y"":4.112882261262708,""yaw"":0.0},{""x"":7.137912251691404,""y"":4.133217649749323,""yaw"":0.0},{""x"":7.152447774368937,""y"":4.1535576158727245,""yaw"":0.0},{""x"":7.166908528978951,""y"":4.173950987758641,""yaw"":0.0},{""x"":7.181328084857881,""y"":4.194373351344208,""yaw"":0.0},{""x"":7.195860555777557,""y"":4.214714843346538,""yaw"":0.0},{""x"":7.210454061854392,""y"":4.235013610738857,""yaw"":0.0},{""x"":7.26045406259945,""y"":4.285013611483915,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788816140.2398694
map,"[{""x"":5.860454041737825,""y"":2.435013583916767,""yaw"":0.0},{""x"":5.870294434950864,""y"":2.461959079923755,""yaw"":0.0},{""x"":5.886847169572519,""y"":2.480695347292791,""yaw"":0.0},{""x"":5.902281434939226,""y"":2.50036087492958,""yaw"":0.0},{""x"":5.918905885870544,""y"":2.5190330553835985,""yaw"":0.0},{""x"":5.934710939816995,""y"":2.538404088387093,""yaw"":0.0},{""x"":5.950667055777416,""y"":2.5576484734394818,""yaw"":0.0},{""x"":5.967203005730852,""y"":2.5763999995978075,""yaw"":0.0},{""x"":5.983246096790225,""y"":2.595572668340534,""yaw"":0.0},{""x"":5.999385318222124,""y"":2.6146659913789527,""yaw"":0.0},{""x"":6.015866336534117,""y"":2.633463293905148,""yaw"":0.0},{""x"":6.032022342634235,""y"":2.652542884033206,""yaw"":0.0},{""x"":6.0482439615283,""y"":2.6715644907619627,""yaw"":0.0},{""x"":6.064377079444483,""y"":2.6906623914371686,""yaw"":0.0},{""x"":6.080578861912471,""y"":2.709700782834144,""yaw"":0.0},{""x"":6.096827946627258,""y"":2.7287010272578947,""yaw"":0.0},{""x"":6.112999211516666,""y"":2.747765358596663,""yaw"":0.0},{""x"":6.1292254080475175,""y"":2.7667854394464904,""yaw"":0.0},{""x"":6.145358525963701,""y"":2.7858818142427673,""yaw"":0.0},{""x"":6.161549627279186,""y"":2.8049308867922456,""yaw"":0.0},{""x"":6.1777819273257535,""y"":2.823944864126357,""yaw"":0.0},{""x"":6.194043219071972,""y"":2.842932901518676,""yaw"":0.0},{""x"":6.210292303786758,""y"":2.8619316200634977,""yaw"":0.0},{""x"":6.2265337591069,""y"":2.8809379680029643,""yaw"":0.0},{""x"":6.24304834675533,""y"":2.899706278829509,""yaw"":0.0},{""x"":6.259378303053353,""y"":2.918636332822526,""yaw"":0.0},{""x"":6.2762194287925865,""y"":2.9371132007736342,""yaw"":0.0},{""x"":6.292691291831005,""y"":2.9559196585734036,""yaw"":0.0},{""x"":6.308854927325768,""y"":2.9749916193068167,""yaw"":0.0},{""x"":6.32524744465988,""y"":2.9938667416583904,""yaw"":0.0},{""x"":6.341287483961395,""y"":3.0130439880379036,""yaw"":0.0},{""x"":6.3570330286296155,""y"":3.032462323288197,""yaw"":0.0},{""x"":6.372964730527173,""y"":3.0517280706455914,""yaw"":0.0},{""x"":6.3885561614235655,""y"":3.0712700020891326,""yaw"":0.0},{""x"":6.404579416056862,""y"":3.0904609813790067,""yaw"":0.0},{""x"":6.419685617453837,""y"":3.110379804918008,""yaw"":0.0},{""x"":6.434614816895049,""y"":3.13043290580276,""yaw"":0.0},{""x"":6.449734751202385,""y"":3.150342574068187,""yaw"":0.0},{""x"":6.46420771284383,""y"":3.170726790680529,""yaw"":0.0},{""x"":6.478634898117406,""y"":3.19114305075038,""yaw"":0.0},{""x"":6.49298884120239,""y"":3.2116127165827457,""yaw"":0.0},{""x"":6.507275645614499,""y"":3.232128158782981,""yaw"":0.0},{""x"":6.520752208315315,""y"":3.2531837621240776,""yaw"":0.0},{""x"":6.534500377465491,""y"":3.2740638893883407,""yaw"":0.0},{""x"":6.54844080736072,""y"":3.294817368701498,""yaw"":0.0},{""x"":6.561751049258277,""y"":3.3159797835676237,""yaw"":0.0},{""x"":6.575717419095298,""y"":3.336714952333633,""yaw"":0.0},{""x"":6.5898012816098515,""y"":3.357369249516406,""yaw"":0.0},{""x"":6.603976696860144,""y"":3.3779625115420195,""yaw"":0.0},{""x"":6.617491406534185,""y"":3.3989952266991814,""yaw"":0.0},{""x"":6.63130213672045,""y"":3.419834155232362,""yaw"":0.0},{""x"":6.645309705288554,""y"":3.4405418581776495,""yaw"":0.0},{""x"":6.659451551202409,""y"":3.461156482508269,""yaw"":0.0},{""x"":6.673340101214052,""y"":3.4819435311578637,""yaw"":0.0},{""x"":6.687594862168652,""y"":3.5024818615420337,""yaw"":0.0},{""x"":6.701941175858991,""y"":3.522956105011186,""yaw"":0.0},{""x"":6.716218824997526,""y"":3.5434776507271373,""yaw"":0.0},{""x"":6.730583449235013,""y"":3.563939687164858,""yaw"":0.0},{""x"":6.7450060568718015,""y"":3.584358998992567,""yaw"":0.0},{""x"":6.7593905175353655,""y"":3.6048073025199265,""yaw"":0.0},{""x"":6.773745986499279,""y"":3.625273916594434,""yaw"":0.0},{""x"":6.788206741109292,""y"":3.6456672884803503,""yaw"":0.0},{""x"":6.802685806266453,""y"":3.6660469274559055,""yaw"":0.0},{""x"":6.817148086755395,""y"":3.6864402993418217,""yaw"":0.0},{""x"":6.831646988338633,""y"":3.706806205407016,""yaw"":0.0},{""x"":6.846170303984735,""y"":3.7271553268039916,""yaw"":0.0},{""x"":6.860681412599405,""y"":3.747512077595612,""yaw"":0.0},{""x"":6.8752276164294415,""y"":3.767844414324369,""yaw"":0.0},{""x"":6.889731095649466,""y"":3.788207268631705,""yaw"":0.0},{""x"":6.904257463053426,""y"":3.8085533382708228,""yaw"":0.0},{""x"":6.9188341844620425,""y"":3.8288643126945736,""yaw"":0.0},{""x"":6.933371233018505,""y"":3.8492042788179752,""yaw"":0.0},{""x"":6.947931169758903,""y"":3.869525934394229,""yaw"":0.0},{""x"":6.962456011283933,""y"":3.8898735299122755,""yaw"":0.0},{""x"":6.97701747390326,""y"":3.9101967113674583,""yaw"":0.0},{""x"":6.991601824706521,""y"":3.930501582275493,""yaw"":0.0},{""x"":7.006151080294416,""y"":3.950830867246392,""yaw"":0.0},{""x"":7.020733905218748,""y"":3.9711372640333558,""yaw"":0.0},{""x"":7.035289264322358,""y"":3.9914634972463965,""yaw"":0.0},{""x"":7.049875141004549,""y"":4.011766842275502,""yaw"":0.0},{""x"":7.0644747505971,""y"":4.032061032031034,""yaw"":0.0},{""x"":7.079062153158219,""y"":4.052362851181211,""yaw"":0.0},{""x"":7.093680073297918,""y"":4.072644833905311,""yaw"":0.0},{""x"":7.108270527616895,""y"":4.092945127176559,""yaw"":0.0},{""x"":7.122862507814801,""y"":4.113245420447807,""yaw"":0.0},{""x"":7.137491109107003,""y"":4.133518247898333,""yaw"":0.0},{""x"":7.152115132762418,""y"":4.153795652985647,""yaw"":0.0},{""x"":7.166658284834597,""y"":4.174129515593332,""yaw"":0.0},{""x"":7.18116481581248,""y"":4.19449084402174,""yaw"":0.0},{""x"":7.19578121007325,""y"":4.21477282674584,""yaw"":0.0},{""x"":7.210454061854392,""y"":4.235013610738857,""yaw"":0.0},{""x"":7.26045406259945,""y"":4.285013611483915,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788816141.2691586
map,"[{""x"":6.210454046953231,""y"":2.8850135906222896,""yaw"":0.0},{""x"":6.223759711214001,""y"":2.9147529709482534,""yaw"":0.0},{""x"":6.2403536445667385,""y"":2.9334526172229936,""yaw"":0.0},{""x"":6.256161750271048,""y"":2.952819072589701,""yaw"":0.0},{""x"":6.272906745637755,""y"":2.9713844415186905,""yaw"":0.0},{""x"":6.289776863076639,""y"":2.989833843649077,""yaw"":0.0},{""x"":6.306337227092939,""y"":3.0085624816234677,""yaw"":0.0},{""x"":6.323028816697132,""y"":3.0271736269203267,""yaw"":0.0},{""x"":6.339911141167448,""y"":3.04561234789821,""yaw"":0.0},{""x"":6.356329598443352,""y"":3.064464582065849,""yaw"":0.0},{""x"":6.372699227593529,""y"":3.0833610667224285,""yaw"":0.0},{""x"":6.389203134089456,""y"":3.102138532822547,""yaw"":0.0},{""x"":6.405159250049877,""y"":3.1213844437538647,""yaw"":0.0},{""x"":6.42130762675535,""y"":3.1404701373976387,""yaw"":0.0},{""x"":6.436970773961406,""y"":3.1599540854418784,""yaw"":0.0},{""x"":6.4522127785830605,""y"":3.1797706750926373,""yaw"":0.0},{""x"":6.467294565917172,""y"":3.1997093350577153,""yaw"":0.0},{""x"":6.482197825416591,""y"":3.219782272368544,""yaw"":0.0},{""x"":6.497172801225673,""y"":3.2398002780379294,""yaw"":0.0},{""x"":6.5111620592466295,""y"":3.260520188014649,""yaw"":0.0},{""x"":6.5252886463711945,""y"":3.281145493497771,""yaw"":0.0},{""x"":6.53947474277399,""y"":3.3017311261287396,""yaw"":0.0},{""x"":6.553703563786797,""y"":3.3222877670600575,""yaw"":0.0},{""x"":6.565544384275739,""y"":3.344304674126416,""yaw"":0.0},{""x"":6.578172558292039,""y"":3.3658806021822976,""yaw"":0.0},{""x"":6.5920977293979774,""y"":3.3866447626479577,""yaw"":0.0},{""x"":6.606170910760028,""y"":3.4073066892253756,""yaw"":0.0},{""x"":6.619343823553976,""y"":3.4285545533115247,""yaw"":0.0},{""x"":6.633026379910206,""y"":3.4494789310647285,""yaw"":0.0},{""x"":6.647087354240824,""y"":3.4701484870367914,""yaw"":0.0},{""x"":6.661220044881105,""y"":3.4907707407620556,""yaw"":0.0},{""x"":6.675581617360734,""y"":3.511234303078705,""yaw"":0.0},{""x"":6.690120191796126,""y"":3.531572743323178,""yaw"":0.0},{""x"":6.7049120621337295,""y"":3.551726552217243,""yaw"":0.0},{""x"":6.71943690365876,""y"":3.5720741477352895,""yaw"":0.0},{""x"":6.733958693425933,""y"":3.592424795011194,""yaw"":0.0},{""x"":6.748578139444561,""y"":3.612703725977436,""yaw"":0.0},{""x"":6.763173171400325,""y"":3.633000967490826,""yaw"":0.0},{""x"":6.777833816150036,""y"":3.6532509067574175,""yaw"":0.0},{""x"":6.792569228967267,""y"":3.6734474402614943,""yaw"":0.0},{""x"":6.807171890317676,""y"":3.6937385782591683,""yaw"":0.0},{""x"":6.821802017488807,""y"":3.7140114057096945,""yaw"":0.0},{""x"":6.836555740853186,""y"":3.7341926804244814,""yaw"":0.0},{""x"":6.851289627791488,""y"":3.754390739807487,""yaw"":0.0},{""x"":6.8661699991069725,""y"":3.774480461786535,""yaw"":0.0},{""x"":6.881013749328162,""y"":3.7945961237073753,""yaw"":0.0},{""x"":6.895909379432936,""y"":3.814673638654991,""yaw"":0.0},{""x"":6.910901139910237,""y"":3.8346794372929445,""yaw"":0.0},{""x"":6.9258379687460945,""y"":3.8547264346619805,""yaw"":0.0},{""x"":6.9408068410394606,""y"":3.8747505438470817,""yaw"":0.0},{""x"":6.955702471144235,""y"":3.8948280587946975,""yaw"":0.0},{""x"":6.970685076347962,""y"":3.914841486827296,""yaw"":0.0},{""x"":6.985687517977766,""y"":3.9348396560706043,""yaw"":0.0},{""x"":7.000639605602913,""y"":3.9548744464082084,""yaw"":0.0},{""x"":7.015646624869504,""y"":3.974869563893659,""yaw"":0.0},{""x"":7.030607867768225,""y"":3.994898250715547,""yaw"":0.0},{""x"":7.045596576487668,""y"":4.014907101111358,""yaw"":0.0},{""x"":7.060612751027833,""y"":4.034896115081093,""yaw"":0.0},{""x"":7.075602985626205,""y"":4.054903439597975,""yaw"":0.0},{""x"":7.090616108408511,""y"":4.07489245356771,""yaw"":0.0},{""x"":7.105591084217593,""y"":4.094911985116024,""yaw"":0.0},{""x"":7.120578267058107,""y"":4.114920835511835,""yaw"":0.0},{""x"":7.135594441598272,""y"":4.134908323602641,""yaw"":0.0},{""x"":7.150593831470218,""y"":4.154909544603807,""yaw"":0.0},{""x"":7.165530660306075,""y"":4.174956541972843,""yaw"":0.0},{""x"":7.180423238652992,""y"":4.195037108678317,""yaw"":0.0},{""x"":7.195413473251364,""y"":4.2150444331951995,""yaw"":0.0},{""x"":7.210454061854392,""y"":4.235013610738857,""yaw"":0.0},{""x"":7.26045406259945,""y"":4.285013611483915,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788816142.2890847
map,"[{""x"":6.560454052168637,""y"":3.285013596582754,""yaw"":0.0},{""x"":6.5589922601546675,""y"":3.317876451076355,""yaw"":0.0},{""x"":6.572865551377021,""y"":3.338674180878453,""yaw"":0.0},{""x"":6.586908215160491,""y"":3.3593574697608766,""yaw"":0.0},{""x"":6.601080578652926,""y"":3.379952257665419,""yaw"":0.0},{""x"":6.615619153088318,""y"":3.4002906979098917,""yaw"":0.0},{""x"":6.630223340317656,""y"":3.4205803100286367,""yaw"":0.0},{""x"":6.644581861039427,""y"":3.4410453982242153,""yaw"":0.0},{""x"":6.659030408618008,""y"":3.4614479253837054,""yaw"":0.0},{""x"":6.673802442529535,""y"":3.4816169930670604,""yaw"":0.0},{""x"":6.688553114136056,""y"":3.5018013195397053,""yaw"":0.0},{""x"":6.703247328222204,""y"":3.522026844743433,""yaw"":0.0},{""x"":6.718088026685535,""y"":3.5421455584221313,""yaw"":0.0},{""x"":6.732834120655269,""y"":3.562332936652634,""yaw"":0.0},{""x"":6.747496291283909,""y"":3.5825828759192255,""yaw"":0.0},{""x"":6.762027236324656,""y"":3.602925893800485,""yaw"":0.0},{""x"":6.77656123312326,""y"":3.6232673858028157,""yaw"":0.0},{""x"":6.791116592226871,""y"":3.6435920931369274,""yaw"":0.0},{""x"":6.805621597325825,""y"":3.663954947444264,""yaw"":0.0},{""x"":6.820086929572625,""y"":3.684345267572322,""yaw"":0.0},{""x"":6.8345125889672715,""y"":3.704763053521102,""yaw"":0.0},{""x"":6.848944351877634,""y"":3.725177787712024,""yaw"":0.0},{""x"":6.863324234904411,""y"":3.7456276171183127,""yaw"":0.0},{""x"":6.877739213146555,""y"":3.7660530324617376,""yaw"":0.0},{""x"":6.8921328290836925,""y"":3.7864937065944524,""yaw"":0.0},{""x"":6.90654170381012,""y"":3.8069236995746643,""yaw"":0.0},{""x"":6.920970414962625,""y"":3.8273384337655862,""yaw"":0.0},{""x"":6.9353792896890525,""y"":3.847769952624727,""yaw"":0.0},{""x"":6.949811052599415,""y"":3.86818316093672,""yaw"":0.0},{""x"":6.964203142657624,""y"":3.888625360948364,""yaw"":0.0},{""x"":6.978634905567986,""y"":3.909040095139286,""yaw"":0.0},{""x"":6.993092608420142,""y"":3.929434992904131,""yaw"":0.0},{""x"":7.007521319572646,""y"":3.949851252973982,""yaw"":0.0},{""x"":7.0219790224248015,""y"":3.970246150738827,""yaw"":0.0},{""x"":7.036415362971951,""y"":3.990656307292962,""yaw"":0.0},{""x"":7.05088222109768,""y"":4.011045101542091,""yaw"":0.0},{""x"":7.065376545044131,""y"":4.031414059365144,""yaw"":0.0},{""x"":7.079857136080221,""y"":4.051795224219628,""yaw"":0.0},{""x"":7.094362141179175,""y"":4.072156552648035,""yaw"":0.0},{""x"":7.108841206336336,""y"":4.092536191623591,""yaw"":0.0},{""x"":7.123353840829935,""y"":4.112892942415211,""yaw"":0.0},{""x"":7.137886311749611,""y"":4.133234434417542,""yaw"":0.0},{""x"":7.152401998001068,""y"":4.153589659330233,""yaw"":0.0},{""x"":7.1669298912839565,""y"":4.173934203090422,""yaw"":0.0},{""x"":7.181378438862538,""y"":4.194336730249912,""yaw"":0.0},{""x"":7.195900228629711,""y"":4.2146873775258165,""yaw"":0.0},{""x"":7.210454061854392,""y"":4.235013610738857,""yaw"":0.0},{""x"":7.26045406259945,""y"":4.285013611483915,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788816143.3179064
map,"[{""x"":6.860454056638986,""y"":3.7350136032882766,""yaw"":0.0},{""x"":6.867051957127927,""y"":3.773862480820295,""yaw"":0.0},{""x"":6.881291459293237,""y"":3.794411492356968,""yaw"":0.0},{""x"":6.895715592808955,""y"":3.814830804184677,""yaw"":0.0},{""x"":6.910463212657618,""y"":3.8350181824151797,""yaw"":0.0},{""x"":6.925316118152381,""y"":3.855126214941375,""yaw"":0.0},{""x"":6.940242265835735,""y"":3.875182367583985,""yaw"":0.0},{""x"":6.954893755311872,""y"":3.8954399362452214,""yaw"":0.0},{""x"":6.969940447430616,""y"":3.915403010273163,""yaw"":0.0},{""x"":6.984764361225729,""y"":3.9355354568622225,""yaw"":0.0},{""x"":6.999669146604077,""y"":3.9556053424151933,""yaw"":0.0},{""x"":7.014795184427129,""y"":3.9755104330438336,""yaw"":0.0},{""x"":7.029782367267643,""y"":3.995520809318574,""yaw"":0.0},{""x"":7.0448153264760265,""y"":4.0154945644990185,""yaw"":0.0},{""x"":7.059729267127949,""y"":4.035559872415202,""yaw"":0.0},{""x"":7.074797321551699,""y"":4.055509213532783,""yaw"":0.0},{""x"":7.089892841796171,""y"":4.075437192345358,""yaw"":0.0},{""x"":7.10490291282062,""y"":4.095429258072951,""yaw"":0.0},{""x"":7.12001674361224,""y"":4.115343503975165,""yaw"":0.0},{""x"":7.1350481769416945,""y"":4.1353203109134675,""yaw"":0.0},{""x"":7.150114705486516,""y"":4.155269652031048,""yaw"":0.0},{""x"":7.165249898583141,""y"":4.175167113265044,""yaw"":0.0},{""x"":7.180255391970803,""y"":4.195163756629423,""yaw"":0.0},{""x"":7.195337179304914,""y"":4.215100890715572,""yaw"":0.0},{""x"":7.210454061854392,""y"":4.235013610738857,""yaw"":0.0},{""x"":7.26045406259945,""y"":4.285013611483915,""yaw"":0.0},{""x"":7.2519,""y"":4.2985,""yaw"":0.9814000000000003}]",1788816144.3370311
map,"[{""x"":7.110454060364276,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.060454059619218,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.035454059246689,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.01045405887416,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.960454058129102,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.910454057384044,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.8889,""y"":4.1384,""yaw"":3.0424}]",1788816153.2794642
map,"[{""x"":7.110454060364276,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.060454059619218,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.035454059246689,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.01045405887416,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.960454058129102,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.910454057384044,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.8889,""y"":4.1384,""yaw"":3.0424}]",1788816154.299693
map,"[{""x"":7.110454060364276,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.060454059619218,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.035454059246689,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.01045405887416,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.960454058129102,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.910454057384044,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.8889,""y"":4.1384,""yaw"":3.0424}]",1788816155.3295498
map,"[{""x"":7.110454060364276,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.060454059619218,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.035454059246689,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.01045405887416,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.960454058129102,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.910454057384044,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.8889,""y"":4.1384,""yaw"":3.0424}]",1788816156.3594985
map,"[{""x"":7.110454060364276,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.060454059619218,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.035454059246689,""y"":4.135013609248741,""yaw"":0.0},{""x"":7.01045405887416,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.960454058129102,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.910454057384044,""y"":4.135013609248741,""yaw"":0.0},{""x"":6.8889,""y"":4.1384,""yaw"":3.0424}]",1788816157.3797102
