stamp,vx,vy,vz,wx,wy,wz
1788825465.3030684,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.3529234,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.4032824,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.4530067,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.5031002,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.5529804,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.603012,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.6529129,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.70301,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.7528079,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.8030987,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.8529468,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.9032528,0.0,0.0,0.0,0.0,0.0,0.0
1788825465.953116,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.0028565,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.0527678,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.103134,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.153059,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.203219,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.2533448,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.3030415,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.3528943,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.4030333,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.4530358,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.503275,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.5529387,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.603015,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.652978,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.7028737,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.7527893,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.802927,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.853322,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.9034042,0.0,0.0,0.0,0.0,0.0,0.0
1788825466.953217,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.0028522,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.0531268,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.1028943,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.15326,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.2030187,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.2529142,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.3029196,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.3528504,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.4028063,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.453102,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.5028455,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.5530946,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.6028416,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.653068,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.7030623,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.7529104,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.8028648,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.8531885,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.9029453,0.0,0.0,0.0,0.0,0.0,0.0
1788825467.9529135,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.0028586,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.0530422,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.1028156,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.1528711,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.2030597,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.2529175,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.3028421,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.3529644,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.4029934,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.4529195,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.5028303,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.5529704,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.6032822,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.653096,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.703013,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.7531075,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.802729,0.0,0.0,0.0,0.0,0.0,0.0
1788825468.852915,0.0,0.0,0.0,0.0,0.0,0.0
