stamp,vx,vy,vz,wx,wy,wz
1788825602.4535248,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.4577641,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.4594452,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.4599447,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.4776154,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.4797177,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.4799502,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.4976647,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.498091,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.4998372,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5002444,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5039012,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5182064,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5201068,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5207849,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5378602,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5400121,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.540756,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5538118,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5576162,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5603435,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5610924,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5780904,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.57978,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5800157,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5973983,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.5977676,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.6006389,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.6014345,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
1788825602.604031,0.1,0.0,0.0,0.0,0.0,-0.07779260885492205
