x_m,y_m,samples,dwell_s
3.710000000000001,-0.332672058948907,2,0.199954
3.8100000000000005,-0.332672058948907,15,1.499582
3.910000000000001,-0.332672058948907,4,0.399985
4.010000000000002,-0.332672058948907,29,2.900255
4.110000000000001,-0.332672058948907,2,0.199745
4.210000000000001,-0.332672058948907,4,0.399976
4.310000000000001,-0.332672058948907,2,0.200163
3.6100000000000008,-0.23267205894890702,4,0.399853
3.710000000000001,-0.23267205894890702,2,0.199922
4.310000000000001,-0.23267205894890702,1,0.100362
4.410000000000001,-0.23267205894890702,3,0.299969
4.510000000000002,-0.23267205894890702,1,0.09981
0.31000000000000066,-0.13267205894890705,246,24.600161
3.410000000000001,-0.13267205894890705,2,0.200189
3.5100000000000007,-0.13267205894890705,3,0.300445
4.510000000000002,-0.13267205894890705,1,0.100202
4.610000000000001,-0.13267205894890705,3,0.299804
3.210000000000001,-0.03267205894890707,1,0.100055
3.3100000000000005,-0.03267205894890707,4,0.400062
3.410000000000001,-0.03267205894890707,1,0.100024
4.710000000000001,-0.03267205894890707,2,0.199755
4.810000000000001,-0.03267205894890707,2,0.20042
3.210000000000001,0.06732794105109291,4,0.399343
4.910000000000002,0.06732794105109291,3,0.299729
5.010000000000002,0.06732794105109291,1,0.099731
3.1100000000000008,0.1673279410510929,5,0.500241
5.010000000000002,0.1673279410510929,1,0.100638
5.110000000000001,0.1673279410510929,3,0.299797
2.910000000000001,0.26732794105109287,2,0.200334
3.0100000000000007,0.26732794105109287,5,0.499924
3.1100000000000008,0.26732794105109287,1,0.099871
5.210000000000001,0.26732794105109287,2,0.199662
5.310000000000001,0.26732794105109287,1,0.100449
2.710000000000001,0.36732794105109284,2,0.199612
2.8100000000000005,0.36732794105109284,2,0.199966
2.910000000000001,0.36732794105109284,1,0.10031
5.310000000000001,0.36732794105109284,2,0.199868
5.410000000000002,0.36732794105109284,1,0.099976
2.5100000000000007,0.4673279410510928,3,0.299844
2.6100000000000008,0.4673279410510928,3,0.300432
2.710000000000001,0.4673279410510928,1,0.099867
5.410000000000002,0.4673279410510928,2,0.199575
5.510000000000002,0.4673279410510928,1,0.100457
2.410000000000001,0.5673279410510927,367,36.700079
5.510000000000002,0.5673279410510927,2,0.199982
5.610000000000001,0.5673279410510927,1,0.099659
5.610000000000001,0.6673279410510927,2,0.20017
5.710000000000001,0.7673279410510928,3,0.299936
5.810000000000001,0.8673279410510928,3,0.300461
5.910000000000002,0.9673279410510927,3,0.299584
6.010000000000002,1.0673279410510925,2,0.200006
6.010000000000002,1.1673279410510926,1,0.099753
6.110000000000001,1.1673279410510926,2,0.199971
6.110000000000001,1.2673279410510927,1,0.100564
6.210000000000001,1.2673279410510927,2,0.20003
6.210000000000001,1.3673279410510926,1,0.099787
6.310000000000001,1.3673279410510926,2,0.19972
6.310000000000001,1.4673279410510924,1,0.100591
6.410000000000002,1.4673279410510924,2,0.19986
6.410000000000002,1.5673279410510925,1,0.099859
6.510000000000002,1.5673279410510925,2,0.19964
6.510000000000002,1.6673279410510924,1,0.100631
6.610000000000001,1.6673279410510924,2,0.199562
6.610000000000001,1.7673279410510923,2,0.199812
6.710000000000001,1.8673279410510923,3,0.299993
6.810000000000001,1.9673279410510924,3,0.300601
