stamp,vx,vy,vz,wx,wy,wz
1789087727.537219,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.5873537,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.6375825,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.687633,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.7374246,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.7876785,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.8375041,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.8875318,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.9375014,0.0,0.0,0.0,0.0,0.0,0.0
1789087727.9876301,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.0373769,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.0873358,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.1375089,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.1876554,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.2373576,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.2878234,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.337578,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.3873703,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.4376223,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.487508,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.537562,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.5874639,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.6373706,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.6875486,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.7374804,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.7873812,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.8377686,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.887576,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.9378042,0.0,0.0,0.0,0.0,0.0,0.0
1789087728.9876645,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.037487,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.0873156,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.1373715,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.1874928,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.2372744,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.2876477,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.3374152,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.387545,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.4377155,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.487391,0.0,0.0,0.0,0.0,0.0,0.0
1789087729.537434,0.0,0.0,0.0,0.0,0.0,0.0
