x_m,y_m,samples,dwell_s
-3.6997212680394282,1.5644813014991732,2,0.199984
-3.5997212680394286,1.5644813014991732,2,0.199831
-3.499721268039429,1.5644813014991732,2,0.200171
-3.3997212680394293,1.5644813014991732,2,0.199753
-3.2997212680394297,1.5644813014991732,2,0.200148
-3.19972126803943,1.5644813014991732,3,0.300099
-3.0997212680394304,1.5644813014991732,4,0.400038
-2.9997212680394307,1.5644813014991732,3,0.29978
-2.899721268039431,1.5644813014991732,3,0.300121
-2.7997212680394314,1.5644813014991732,5,0.499866
-2.699721268039432,1.5644813014991732,454,45.400055
-4.1997212680394265,1.6644813014991733,2,0.19993
-4.099721268039427,1.6644813014991733,3,0.300148
-3.999721268039427,1.6644813014991733,3,0.299888
-3.8997212680394275,1.6644813014991733,2,0.199981
-3.799721268039428,1.6644813014991733,2,0.200176
-2.7997212680394314,1.6644813014991733,1,0.099924
-2.699721268039432,1.6644813014991733,2,0.20009
-4.399721268039426,1.7644813014991734,520,51.999937
-4.299721268039426,1.7644813014991734,2,0.19991
-2.7997212680394314,1.7644813014991734,1,0.099984
-2.899721268039431,1.8644813014991735,2,0.199931
-4.1997212680394265,1.9644813014991735,305,30.499927
-2.899721268039431,1.9644813014991735,2,0.200103
-4.1997212680394265,2.064481301499174,1,0.099971
-4.099721268039427,2.064481301499174,7,0.700131
-3.999721268039427,2.064481301499174,49,4.899986
-2.9997212680394307,2.064481301499174,2,0.200067
-3.999721268039427,2.1644813014991735,7,0.699895
-3.8997212680394275,2.1644813014991735,2,0.200115
-2.9997212680394307,2.1644813014991735,2,0.200011
-3.8997212680394275,2.264481301499174,1,0.100069
-3.799721268039428,2.264481301499174,3,0.29989
-3.6997212680394282,2.264481301499174,1,0.099967
-2.9997212680394307,2.264481301499174,3,0.299917
-3.8997212680394275,2.3644813014991737,2,0.200012
-3.6997212680394282,2.3644813014991737,2,0.199985
-3.5997212680394286,2.3644813014991737,3,0.29997
-3.0997212680394304,2.3644813014991737,4,0.40009
-3.8997212680394275,2.464481301499174,1,0.099963
-3.499721268039429,2.464481301499174,1,0.100286
-3.3997212680394293,2.464481301499174,2,0.199894
-3.0997212680394304,2.464481301499174,3,0.299792
-3.8997212680394275,2.564481301499174,2,0.200192
-3.3997212680394293,2.564481301499174,1,0.099721
-3.2997212680394297,2.564481301499174,2,0.200087
-3.0997212680394304,2.564481301499174,3,0.300194
-3.799721268039428,2.6644813014991744,2,0.199816
-3.19972126803943,2.6644813014991744,5,0.500093
-3.0997212680394304,2.6644813014991744,3,0.299976
-3.799721268039428,2.764481301499174,3,0.300019
-3.0997212680394304,2.764481301499174,104,10.400033
-3.799721268039428,2.8644813014991746,2,0.200068
-3.799721268039428,2.964481301499174,2,0.199894
-3.799721268039428,3.0644813014991747,3,0.300156
-3.799721268039428,3.1644813014991744,2,0.200075
-3.799721268039428,3.264481301499175,3,0.299787
-3.8997212680394275,3.3644813014991746,2,0.199924
-3.799721268039428,3.3644813014991746,1,0.100187
-3.8997212680394275,3.464481301499175,3,0.299881
-3.8997212680394275,3.5644813014991747,4,0.399912
-3.999721268039427,3.6644813014991753,3,0.300059
-4.099721268039427,3.764481301499175,1,0.099886
-3.999721268039427,3.764481301499175,4,0.400038
-4.099721268039427,3.8644813014991755,7,0.700198
-4.099721268039427,3.9644813014991755,604,60.399956
